Segment,start_x,start_y,end_x,end_y,ConnectsTo,Parent
1,0,0,-0.027287066,0,2,x
2,-0.027287066,0,-0.044321767,-0.004488432,3,1
3,-0.044321767,-0.004488432,-0.05,-0.015279677,4,2
4,-0.05,-0.015279677,-0.052208202,-0.031139415,5,3
5,-0.052208202,-0.031139415,-0.046214511,-0.04444915,6,4
6,-0.046214511,-0.04444915,-0.033280757,-0.050771137,7,5
7,-0.033280757,-0.050771137,-0.017823344,-0.056137748,8,6
8,-0.017823344,-0.056137748,-0.002996845,-0.060871109,9,7
9,-0.002996845,-0.060871109,0.015615142,-0.066866968,10,8
10,0.015615142,-0.066866968,0.027287066,-0.070971082,11,9
11,0.027287066,-0.070971082,0.049053628,-0.078547562,12,10
12,0.049053628,-0.078547562,0.084069401,-0.088005782,"13,15",11
13,0.084069401,-0.088005782,0.107097792,-0.090189141,14,12
14,0.107097792,-0.090189141,0.14873817,-0.086634743,x,13
15,0.084069401,-0.088005782,0.02444795,-0.079537952,16,12
16,0.02444795,-0.079537952,0.006466877,-0.079249338,17,15
17,0.006466877,-0.079249338,-0.008990536,-0.080542347,18,16
18,-0.008990536,-0.080542347,-0.018454259,-0.082460101,19,17
19,-0.018454259,-0.082460101,-0.033596215,-0.084386859,20,18
20,-0.033596215,-0.084386859,-0.051892744,-0.08505012,x,19